USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              7394  21.7  3.7 1953291472 307344   ??  S    11:09AM   0:19.93 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1787022621955066 --launch-time-ticks=8928699024 --shared-files --field-trial-handle=1718379636,r,9458431235594540028,15585894896963821401,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,10488696142628208022,14478693751458410815,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:42a9412e-0222-448d-98f1-1f3ca32721a1 --seatbelt-client=63
_windowserver      612   4.4  1.2 436261984 102624   ??  Ss    8:56PM  20:15.81 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root              7240   0.0  0.0 435339008   3488   ??  Ss   10:59AM   0:00.08 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root              7239   0.0  0.1 435306848   5376   ??  Ss   10:59AM   0:00.15 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
root              7238   0.0  0.1 435340800   5168   ??  Ss   10:59AM   0:00.06 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
tanu              7236   0.0  0.1 435351024   8960   ??  S    10:59AM   0:00.09 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
tanu              7235   0.0  0.1 411355984   8704   ??  Ss   10:59AM   0:00.07 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
tanu              7234   0.0  0.7 486075616  57072   ??  S    10:59AM   0:00.25 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,1672389591554669485,11919711426296600186,524288 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708999430457380 --seatbelt-client=169
tanu              7233   0.0  0.1 435316688   7984   ??  S    10:59AM   0:00.07 /usr/libexec/swcd
tanu              7230   0.0  1.7 1953366768 142080   ??  S    10:59AM   0:09.48 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=11 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8360834430 --shared-files --metrics-shmem-handle=1752395122,r,2659381968228026658,3481692382437380085,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708996619331833 --seatbelt-client=160
tanu              7229   0.0  0.8 1949151184  71216   ??  S    10:59AM   0:00.12 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8360833589 --shared-files --metrics-shmem-handle=1752395122,r,15574928284845906428,11157829703768850927,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708997556373682 --seatbelt-client=160
tanu              7228   0.0  1.0 1949167344  86976   ??  S    10:59AM   0:01.66 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8360789410 --shared-files --metrics-shmem-handle=1752395122,r,14151138310900214388,11656702053005523941,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708995682289984 --seatbelt-client=159
tanu              7224   0.0  1.2 1951125520  96656   ??  S    10:59AM   0:00.66 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --extension-process --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8359513282 --shared-files --metrics-shmem-handle=1752395122,r,13530946327926963540,8034002534414515229,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708994745248135 --seatbelt-client=100
tanu              7206   0.0  0.1 435345648   8048   ??  S    10:58AM   0:00.20 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
tanu              7205   0.0  0.2 435358576  13088   ??  S    10:58AM   0:00.38 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
root              7201   0.0  0.0 435341312   4064   ??  Ss   10:58AM   0:00.07 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root              7200   0.0  0.1 435306000   4704   ??  Ss   10:58AM   0:00.08 /usr/libexec/nesessionmanager
tanu              7198   0.0  0.1 435346224   6896   ??  S    10:58AM   0:00.22 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
tanu              7195   0.0  0.1 435345424   7072   ??  S    10:58AM   0:00.13 /usr/libexec/milod
tanu              7194   0.0  0.0 435300432   3744   ??  S    10:58AM   0:00.02 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
tanu              7196   0.0  0.1 435346592   6864   ??  S    10:58AM   0:00.17 /usr/libexec/appleaccountd
tanu              7192   0.0  0.0 435304976   4096   ??  S    10:58AM   0:00.03 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
tanu              7193   0.0  0.1 435347440   6704   ??  S    10:58AM   0:00.03 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
root              7185   0.0  0.1 435346112  11216   ??  Ss   10:58AM   0:00.17 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root              7184   0.0  0.1 435345376   5632   ??  Ss   10:58AM   0:00.14 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root              7130   0.0  0.1 435358096   5264   ??  Ss   10:57AM   0:00.10 /usr/libexec/amfid
root              7127   0.0  0.0 435305456   1872   ??  Ss   10:57AM   0:01.56 /usr/libexec/sysmond
root              7126   0.0  0.0 435305104   2448   ??  Ss   10:57AM   0:00.05 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheManagerService.xpc/Contents/MacOS/AssetCacheManagerService
root              7125   0.0  0.0 435304608   2640   ??  Ss   10:57AM   0:00.05 /usr/libexec/colorsyncd
tanu              7124   0.0  0.0 435301536   1952   ??  Ss   10:57AM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
tanu              7123   0.0  0.0 435341680   3584   ??  S    10:57AM   0:00.03 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
tanu              7120   0.0  0.0 435301520   2544   ??  Ss   10:57AM   0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/XPCServices/SpeechSynthesisServerXPC.xpc/Contents/MacOS/SpeechSynthesisServerXPC
tanu              7119   0.0  0.1 435345968   5840   ??  Ss   10:57AM   0:00.11 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
tanu              7118   0.0  0.1 435354720  12304   ??  S    10:57AM   0:00.44 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
tanu              7117   0.0  0.2 435360512  16544   ??  S    10:57AM   0:00.52 /System/Library/Frameworks/StoreKit.framework/Support/storekitagent
tanu              7116   0.0  0.0 435305024   3600   ??  S    10:57AM   0:00.06 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
tanu              7115   0.0  0.1 435340016   6960   ??  Ss   10:57AM   0:00.06 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
tanu              7114   0.0  0.1 435350496   6896   ??  S    10:57AM   0:00.18 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
tanu              7113   0.0  0.1 435351088   5648   ??  S    10:57AM   0:00.04 /System/Library/CoreServices/pbs
tanu              7112   0.0  0.0 435304656   2976   ??  S    10:57AM   0:00.03 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
tanu              7109   0.0  0.7 486069808  59056   ??  S    10:57AM   0:00.28 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,6817719618609729788,1370797590279974662,524288 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=37
tanu              7108   0.0  1.3 486125120 109328   ??  S    10:57AM   0:05.93 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,8681225566777550808,7915378495563242881,524288 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=19
tanu              7107   0.0  1.6 486886272 131824   ??  S    10:57AM   0:57.98 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,6857679625636998727,737699931878685594,262144 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=19
root              7106   0.0  0.0 435301136   1712   ??  Ss   10:57AM   0:00.02 /usr/libexec/smd
tanu              7105   0.0  0.1 435350960   8560   ??  S    10:57AM   0:00.17 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
root              7104   0.0  0.1 435340496   5744   ??  Ss   10:57AM   0:00.08 /usr/libexec/mobileactivationd
tanu              7100   0.0  0.1 485701808   8560   ??  S    10:57AM   0:00.01 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanu/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/tanu/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=151.0.7922.138 --handshake-fd=5
tanu              7098   0.0  3.5 537240560 293392   ??  S    10:57AM   0:23.50 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
tanu              7097   0.0  0.0 435305056   3040   ??  S    10:57AM   0:00.06 /usr/libexec/metrickitd
tanu              7063   0.0  0.1 435301360   5152   ??  S    10:56AM   0:00.06 /usr/libexec/feedbackd
tanu              7062   0.0  0.1 435306368   4368   ??  S    10:56AM   0:00.07 /usr/libexec/assessmentagent
tanu              7061   0.0  0.1 435340352   6224   ??  S    10:56AM   0:00.10 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
tanu              7060   0.0  0.1 435307696   4896   ??  S    10:56AM   0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
tanu              7056   0.0  0.1 435345856   5744   ??  Ss   10:55AM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
tanu              7055   0.0  0.1 435342128   5792   ??  S    10:55AM   0:00.09 /usr/libexec/swtransparencyd
root              7054   0.0  0.1 435370368   8000   ??  Ss   10:55AM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              7052   0.0  0.0 435304960   3376   ??  Ss   10:55AM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root              7051   0.0  0.1 435353712   7248   ??  Ss   10:55AM   0:00.19 /usr/sbin/systemsoundserverd
root              7050   0.0  0.1 435445568   5056   ??  S    10:55AM   0:00.07 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
tanu              7049   0.0  0.1 435444496   5344   ??  S    10:55AM   0:00.17 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
tanu              7048   0.0  0.2 435353024  14304   ??  S    10:55AM   0:00.20 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
tanu              7047   0.0  0.1 435345712   6576   ??  S    10:55AM   0:00.19 /usr/libexec/dmd
tanu              7046   0.0  0.1 436177184   9984   ??  S    10:55AM   0:00.21 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
tanu              7045   0.0  0.2 435355168  15600   ??  S    10:55AM   0:00.59 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
tanu              7044   0.0  0.1 435354496  11712   ??  S    10:55AM   0:00.46 /usr/libexec/networkserviceproxy
tanu              7041   0.0  0.1 435347216  10832   ??  S    10:55AM   0:00.22 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
tanu              7039   0.0  0.1 435306736   4336   ??  S    10:55AM   0:00.07 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
tanu              7040   0.0  0.0 435366480   2000   ??  Ss   10:55AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
tanu              7038   0.0  0.1 435341264   8016   ??  S    10:55AM   0:00.28 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
root              7037   0.0  0.0 435305808   2688   ??  Ss   10:55AM   0:00.07 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
tanu              7032   0.0  0.1 435340640   6144   ??  S    10:54AM   0:00.13 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
root              7031   0.0  0.0 435301840   1792   ??  Ss   10:54AM   0:00.02 /usr/libexec/seputil --daemonize-reseed
root              7022   0.0  0.0 435305920   1712   ??  Ss   10:54AM   0:00.05 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root              6980   0.0  0.0 435301728   2544   ??  Ss   10:54AM   0:00.03 /System/Library/CoreServices/ReportCrash daemon
root              6979   0.0  0.1 435340912   4976   ??  Ss   10:54AM   0:00.18 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
tanu              6808   0.0  0.0 435366752   1984   ??  Ss   10:51AM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
tanu              6807   0.0  0.1 435352336  10144   ??  S    10:51AM   0:00.10 /System/Library/CoreServices/ScopedBookmarkAgent
tanu              6806   0.0  0.1 435346272   8448   ??  S    10:51AM   0:00.30 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
tanu              6805   0.0  0.1 435350848   8288   ??  Ss   10:51AM   0:00.06 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
tanu              6725   0.0  0.1 435344400   6112   ??  Ss   10:48AM   0:00.36 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
root              6724   0.0  0.0 435313776   2864   ??  Ss   10:48AM   0:00.18 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
tanu              6723   0.0  0.1 435341280  11664   ??  S    10:48AM   0:00.91 /usr/libexec/triald
tanu              6720   0.0  0.0 435301152   2592   ??  S    10:48AM   0:00.03 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
root              6721   0.0  0.1 435340864   6032   ??  Ss   10:48AM   0:00.30 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
root              6719   0.0  0.1 435340304   6832   ??  Ss   10:48AM   0:00.86 /usr/libexec/triald_system
tanu              6717   0.0  0.2 435352112  13664   ??  S    10:48AM   0:01.57 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
root              6716   0.0  0.1 435345440   4928   ??  Ss   10:48AM   0:00.59 /usr/libexec/storagekitd
_iconservices     6715   0.0  0.1 435350880   5376   ??  Ss   10:48AM   0:00.31 /System/Library/CoreServices/iconservicesd
tanu              6713   0.0  0.2 435867280  14688   ??  S    10:48AM   0:00.40 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
tanu              6714   0.0  0.3 435578736  22064   ??  S    10:48AM   0:04.67 /System/Library/CoreServices/iconservicesagent
tanu              6706   0.0  0.1 435345120   6976   ??  S    10:47AM   0:00.12 /usr/libexec/keyboardservicesd
tanu              6705   0.0  0.2 435817120  19920   ??  S    10:47AM   0:00.48 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
root              6690   0.0  0.1 435341296   4896   ??  Ss   10:45AM   0:00.12 /usr/libexec/countryd
tanu              6679   0.0  0.2 435364016  16272   ??  S    10:43AM   0:00.62 /usr/libexec/knowledge-agent
root              6675   0.0  0.1 435340400   8176   ??  Ss   10:42AM   0:00.14 /usr/libexec/PowerUIAgent
tanu              6671   0.0  0.1 435340560   8544   ??  S    10:41AM   0:00.15 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
_locationd        6658   0.0  0.1 435342192   9568   ??  S    10:41AM   0:00.36 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
tanu              6659   0.0  0.1 435351936   8544   ??  S    10:41AM   0:00.32 /usr/libexec/secinitd
tanu              6656   0.0  0.1 435343712  11984   ??  S    10:41AM   0:01.27 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root              6648   0.0  0.1 435339824   5984   ??  Ss   10:41AM   0:00.06 /usr/libexec/powerdatad
root              6651   0.0  0.1 435343712  10752   ??  S    10:41AM   0:00.47 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root              6647   0.0  0.1 435341984   8320   ??  Ss   10:41AM   0:00.13 /usr/libexec/rtcreportingd
_fpsd             6640   0.0  0.1 410166448   5760   ??  Ss   10:38AM   0:00.09 /System/Library/PrivateFrameworks/CoreADI.framework/adid
tanu              6639   0.0  0.2 435399712  12864   ??  S    10:38AM   0:00.77 /usr/libexec/searchpartyuseragent
tanu              6638   0.0  0.1 435413360   7808   ??  S    10:38AM   0:01.12 /System/Library/Frameworks/Contacts.framework/Support/contactsd
root              6637   0.0  0.1 435340624   5840   ??  Ss   10:38AM   0:00.07 /System/Library/CoreServices/osanalyticshelper server-init
tanu              6636   0.0  0.1 435340784   5488   ??  S    10:38AM   0:00.20 /usr/libexec/inputanalyticsd
root              6635   0.0  0.0 435304880   2944   ??  Ss   10:38AM   0:00.07 /usr/libexec/usermanagerd -t 15
tanu              6633   0.0  0.1 435347168   7664   ??  S    10:38AM   0:00.21 /usr/libexec/findmylocateagent
root              6632   0.0  0.1 435342176   5776   ??  Ss   10:38AM   0:00.16 /usr/libexec/biometrickitd --launchd
root              6630   0.0  0.0 435341440   3440   ??  Ss   10:38AM   0:00.04 /usr/libexec/sandboxd
root              6629   0.0  0.1 435340544   5664   ??  Ss   10:38AM   0:00.07 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
tanu              6628   0.0  0.1 435352848  11440   ??  S    10:38AM   0:00.79 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
tanu              6627   0.0  0.2 435357376  16256   ??  S    10:38AM   0:00.38 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
root              6626   0.0  0.1 435340576   5728   ??  Ss   10:38AM   0:00.13 /usr/libexec/securityd_system
root              6614   0.0  0.0 435304624   4032   ??  Ss   10:38AM   0:00.14 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
root              6609   0.0  0.0 435305232   3744   ??  Ss   10:38AM   0:00.07 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
root              6608   0.0  0.0 435305008   3760   ??  Ss   10:38AM   0:00.07 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
_softwareupdate   6607   0.0  0.1 435365808   7808   ??  Ss   10:38AM   0:00.59 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root              6605   0.0  0.1 435367264  11088   ??  Ss   10:38AM   0:11.11 /usr/libexec/mobileassetd
tanu              6599   0.0  0.1 435363008   9216   ??  S    10:38AM   0:00.34 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
tanu              6595   0.0  0.1 435358432   8848   ??  S    10:38AM   0:02.88 /usr/libexec/replayd
root              6592   0.0  0.1 435340928   5984   ??  Ss   10:38AM   0:00.10 /usr/libexec/powerexperienced
root              6585   0.0  0.0 435305808   2208   ??  Ss   10:37AM   0:00.04 /usr/libexec/online-auth-agent
tanu              5000   0.0  0.1 435348064  11280   ??  S    10:35AM   0:00.64 /System/Library/PrivateFrameworks/HearingCore.framework/heard
tanu              3638   0.0  0.1 435551072  10032   ??  S    10:31AM   0:00.50 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
tanu              2725   0.0  0.1 435358352   8000   ??  S    10:31AM   0:00.22 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
tanu              2307   0.0  0.1 435388032   8624   ??  S     9:46AM   0:00.28 /System/Library/Frameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
tanu              2135   0.0  0.1 435382896  10576   ??  Ss    9:38AM   0:00.09 /Applications/Google Drive.app/Contents/PlugIns/DFSFileProviderExtension.appex/Contents/MacOS/DFSFileProviderExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ29vZ2xlLmRyaXZlZnMuZnBleHQifQ==
