USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
tanu              7299   0.0  0.7 1951229856  56240   ??  S    10:50AM   0:03.17 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990997080739
root              7257   0.0  0.0 435304768   1552   ??  Ss   10:50AM   0:00.09 /usr/libexec/logd_helper
root              7129   0.0  0.0 435341616   4144   ??  Ss   10:50AM   0:00.29 /usr/libexec/nesessionmanager
tanu              7088   0.0  0.0 435437248   2656   ??  Ss   10:50AM   0:07.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
_neuralengine     7070   0.0  0.0 435340320   2464   ??  Ss   10:50AM   0:00.06 /usr/libexec/aneuserd
root              7068   0.0  0.0 435345760   3040   ??  Ss   10:50AM   0:00.22 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root              7066   0.0  0.0 435345856   3392   ??  Ss   10:50AM   0:00.15 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
tanu              7067   0.0  0.2 435436304  19264   ??  Ss   10:50AM   0:07.19 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
tanu              7065   0.0  0.1 435559536   4656   ??  S    10:50AM   0:00.09 /System/Library/CoreServices/pbs
tanu              7064   0.0  0.4 486029344  32400   ??  S    10:50AM   0:01.07 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
tanu              7061   0.0  0.1 485700592   4688   ??  S    10:50AM   0:00.01 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanu/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=3b884522-5701-4cbb-938a-f1581cb94411&iid=3b884522-5701-4cbb-938a-f1581cb94411&sid=3b884522-5701-4cbb-938a-f1581cb94411 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.135.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=42.8.1 --handshake-fd=21
_networkd         7033   0.0  0.0 435305456   1936   ??  S    10:50AM   0:00.08 /usr/sbin/cfprefsd agent
root              7028   0.0  0.0 435378624   2848   ??  Ss   10:50AM   0:00.16 /usr/libexec/amfid
_biome            7024   0.0  0.1 435340688   4224   ??  Ss   10:50AM   0:00.30 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
root              7021   0.0  0.0 435344912   3024   ??  Ss   10:50AM   0:00.46 /usr/libexec/sandboxd
root              7019   0.0  0.0 435305072   2400   ??  Ss   10:50AM   0:00.08 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
tanu              7008   0.0  0.0 435345200   3872   ??  S    10:50AM   0:00.29 /usr/libexec/dmd
tanu              7006   0.0  0.0 435306176   3264   ??  S    10:50AM   0:00.10 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
tanu              7004   0.0  0.1 435373824   4464   ??  S    10:50AM   0:00.46 /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/Versions/A/intelligencecontextd
tanu              7003   0.0  0.1 435344672   8496   ??  S    10:50AM   0:00.94 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
tanu              6995   0.0  0.1 435413200   4832   ??  S    10:50AM   0:00.70 /System/Library/Frameworks/Contacts.framework/Support/contactsd
tanu              6994   0.0  0.1 435347904   5920   ??  S    10:50AM   0:00.83 /System/Library/PrivateFrameworks/HearingCore.framework/heard
tanu              6990   0.0  0.0 435345376   3456   ??  Ss   10:49AM   0:00.20 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
tanu              6989   0.0  0.1 435345440   4976   ??  S    10:49AM   0:00.46 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
tanu              6984   0.0  0.9 1949381088  76288   ??  S    10:49AM   0:15.67 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=238 --launch-time-ticks=13907285045 --shared-files --metrics-shmem-handle=1752395122,r,2718264800978862121,5101339393375533318,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709209327831556 --seatbelt-client=305
root              6968   0.0  0.0 435300960   1728   ??  Ss   10:49AM   0:00.22 /usr/libexec/sysmond
tanu              6966   0.0  0.6 1949157824  52336   ??  S    10:49AM   0:00.40 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=232 --launch-time-ticks=13884197367 --shared-files --metrics-shmem-handle=1752395122,r,8170714483477841437,15631829307687497762,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709203705580462 --seatbelt-client=124
tanu              6963   0.0  2.2 1949251744 183040   ??  S    10:48AM   0:16.68 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=231 --launch-time-ticks=13864660546 --shared-files --metrics-shmem-handle=1752395122,r,12311815308719995088,16486409582779986992,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709202768538613 --seatbelt-client=124
root              6956   0.0  0.0 435305648   1504   ??  Ss   10:48AM   0:00.22 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
tanu              6952   0.0  0.2 1949157968  14304   ??  S    10:48AM   0:00.17 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=225 --launch-time-ticks=13849992218 --shared-files --metrics-shmem-handle=1752395122,r,16426022634780391296,5692212470198597680,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709197146287519 --seatbelt-client=40
tanu              6942   0.0  0.1 435418960   6160   ??  Ss   10:48AM   0:00.10 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/WardaSynthesizer.appex/Contents/MacOS/WardaSynthesizer -AppleLanguages ("en-IN")
tanu              6941   0.0  0.1 435419232   5648   ??  Ss   10:48AM   0:00.18 /System/iOSSupport/System/Library/ExtensionKit/Extensions/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
tanu              6940   0.0  0.1 435418064   5632   ??  Ss   10:48AM   0:00.18 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
tanu              6939   0.0  0.1 435419136   5648   ??  Ss   10:48AM   0:00.21 /System/iOSSupport/System/Library/ExtensionKit/Extensions/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
tanu              6938   0.0  0.0 435417600   3568   ??  Ss   10:48AM   0:00.09 /System/iOSSupport/System/Library/ExtensionKit/Extensions/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
tanu              6928   0.0  0.0 435342176   3968   ??  S    10:48AM   0:02.88 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
root              6916   0.0  0.0 435374560   3440   ??  Ss   10:45AM   0:00.49 /usr/libexec/aned
tanu              6908   0.0  0.7 1949178992  55200   ??  S    10:44AM   0:01.87 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=221 --launch-time-ticks=13583004750 --shared-files --metrics-shmem-handle=1752395122,r,1313105810975830057,329030632466935888,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709193398120123 --seatbelt-client=302
tanu              6904   0.0  0.2 1949171552  14512   ??  S    10:44AM   0:00.53 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=217 --launch-time-ticks=13582770059 --shared-files --metrics-shmem-handle=1752395122,r,14193271872595301379,8423706490742606442,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709189649952727 --seatbelt-client=50
root              6902   0.0  0.0 435306144   2768   ??  Ss   10:44AM   0:00.08 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
tanu              6892   0.0  1.1 1949182112  88464   ??  S    10:43AM   0:06.55 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=210 --launch-time-ticks=13557160416 --shared-files --metrics-shmem-handle=1752395122,r,11958415926678707270,3575018145375146806,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709183090659784 --seatbelt-client=43
tanu              6883   0.0  0.1 486118256  11936   ??  S    10:42AM   0:00.34 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=media.mojom.SpeechRecognitionService --lang=en-GB --service-sandbox-type=speech_recognition --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,14760866313129587490,15204231508817838385,524288 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709180279534237 --seatbelt-client=299
tanu              6882   0.0  0.0 435342032   4048   ??  S    10:42AM   0:01.25 /usr/libexec/swcd
tanu              6874   0.0  0.7 1951353824  55280   ??  S    10:42AM   0:10.77 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=204 --launch-time-ticks=13471960661 --shared-files --metrics-shmem-handle=1752395122,r,12558494911664876907,2057761156425933994,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709177468408690 --seatbelt-client=268
tanu              6864   0.0  0.4 1949161280  33248   ??  S    10:42AM   0:00.49 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --extension-process --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=198 --launch-time-ticks=13470175435 --shared-files --metrics-shmem-handle=1752395122,r,14123409209868515741,16107777364892068423,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709171846157596 --seatbelt-client=191
tanu              6863   0.0  0.6 1951139072  47152   ??  S    10:42AM   0:01.48 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --extension-process --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=197 --launch-time-ticks=13470174448 --shared-files --metrics-shmem-handle=1752395122,r,13695813953210037003,6852030940177484707,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709170909115747 --seatbelt-client=179
tanu              6861   0.0  0.6 1949417936  46832   ??  S    10:42AM   0:12.16 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=194 --launch-time-ticks=13470143701 --shared-files --metrics-shmem-handle=1752395122,r,10581384061173847020,9938155734498266539,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709168097990200 --seatbelt-client=167
tanu              6859   0.0  0.5 1949173712  45968   ??  S    10:42AM   0:03.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=193 --launch-time-ticks=13470119972 --shared-files --metrics-shmem-handle=1752395122,r,15172615456251529212,9362040754836598477,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709167160948351 --seatbelt-client=146
tanu              6843   0.0  0.0 435340496   4048   ??  S    10:42AM   0:00.26 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
tanu              6685   0.0  0.0 435340128   3360   ??  S     4:40AM   0:00.15 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
_netbios          6356   0.0  0.0 435340800   3728   ??  SNs   4:38PM   0:00.72 /usr/sbin/netbiosd
tanu              6255   0.0  0.1 435349024   5392   ??  S     4:04PM   0:08.63 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
tanu              5929   0.0  0.1 435345568   7936   ??  S     3:38PM   0:08.73 /usr/libexec/networkserviceproxy
root              5707   0.0  0.1 435364976   8912   ??  Ss    3:36PM   0:03.91 /usr/libexec/coreduetd
root              5540   0.0  0.0 435305408   2400   ??  Ss    3:36PM   0:00.30 /usr/libexec/usermanagerd -t 15
tanu              5506   0.0  0.0 435340320   3296   ??  S     3:34PM   0:00.22 /usr/libexec/neagent
tanu              5499   0.0  0.1 435396464   8288   ??  S     3:34PM   0:02.79 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
root              5498   0.0  0.0 435340672   3904   ??  Ss    3:34PM   0:00.70 /usr/libexec/nehelper
tanu              5497   0.0  0.0 435515536   4144   ??  S     3:34PM   0:00.61 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
tanu              5466   0.0  0.2 436758624  14848   ??  S     3:33PM   0:00.73 /Applications/Docker.app/Contents/MacOS/com.docker.virtualization --kernel /Applications/Docker.app/Contents/Resources/linuxkit/kernel --cmdline init=/initd loglevel=1 root=/dev/vdb rootfstype=erofs ro vsyscall=emulate panic=0 eth0.dhcp eth1.dhcp linuxkit.unified_cgroup_hierarchy=1 console=hvc0   virtio_net.disable_csum=1 slub_min_order=2 page_reporting.page_reporting_order=2 vpnkit.connect=connect://2/1999 --boot /Applications/Docker.app/Contents/Resources/linuxkit/desktop.img --disk /Users/tanu/Library/Containers/com.docker.docker/Data/vms/0/data/Docker.raw --networkType gvisor --cpus 8 --memoryMiB 4096 --console-log /Users/tanu/Library/Containers/com.docker.docker/Data/log/vm/console.log --watchdog --virtiofs /Users --virtiofs /Volumes --virtiofs /private --virtiofs /tmp --virtiofs /var/folders --rosetta
tanu              4980   0.0  0.0 435309792    480 s001  S+    3:31PM   0:00.19 -zsh
root              4978   0.0  0.0 435308992   2064 s001  Ss    3:31PM   0:00.01 login -pf tanu
tanu              4929   0.0  0.1 435351536   5664   ??  S     3:27PM   0:02.63 /usr/libexec/secinitd
tanu              4498   0.0  0.1 485953392   7792   ??  S     3:14PM   0:00.75 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/Frameworks/Docker Desktop Helper.app/Contents/MacOS/Docker Desktop Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --user-data-dir=/Users/tanu/Library/Application Support/Docker Desktop --standard-schemes=app --enable-sandbox --secure-schemes=app --cors-schemes=dd --fetch-schemes=dd --code-cache-schemes=app --shared-files --field-trial-handle=1718379636,r,12104945103323351489,8426175369988967181,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12556569870899132785,6962239430979471859,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=24
tanu              4497   0.0  0.2 486036752  12784   ??  S     3:14PM   0:08.63 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/Frameworks/Docker Desktop Helper.app/Contents/MacOS/Docker Desktop Helper --type=gpu-process --user-data-dir=/Users/tanu/Library/Application Support/Docker Desktop --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,12104945103323351489,8426175369988967181,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12556569870899132785,6962239430979471859,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=41
tanu              4449   0.0  0.0 436629856   2960   ??  S     3:14PM   0:00.07 /Applications/Docker.app/Contents/Resources/cli-plugins/docker-sandbox daemon start
tanu              4444   0.0  0.7 1890871344  59920   ??  S     3:14PM   0:23.97 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/MacOS/Docker Desktop --reason=open-tray --analytics-enabled=true --name=dashboard
tanu              4442   0.0  0.1 412091216   6160   ??  S     3:14PM   0:00.79 /Applications/Docker.app/Contents/MacOS/com.docker.build --log-no-timestamp
tanu              4413   0.0  0.3 436849008  27744   ??  S     3:14PM   0:01.51 /Applications/Docker.app/Contents/MacOS/com.docker.backend fork
tanu              4412   0.0  0.7 437240432  56624   ??  S     3:14PM   0:54.60 /Applications/Docker.app/Contents/MacOS/com.docker.backend services
